"Title:",""
"Rev:",""
"Source:","F:\Projects\typec-charger\ECAD\TypeC-DC-Charger.sch"
"Date:","5/05/2017 1:24:09 AM"
"Component Count:","92"

"Ref","Qty","Value","Description","Manf","Manf#","Installed","Footprint"
"C1, C19","2","100UF_ELEC_35V_660X580M","CAP, ALU ELEC, 100UF, 35V, SMD","PANASONIC","EEEFT1V101AP"," ","CAPAE660X580DD180L260L"
"C10, C15","2","100NF_X7R_1608M","CAP, MLCC, X7R, 100NF, 50V, 0603","KEMET","C0603C104K5RACAUTO"," ","CAPC1608X90L"
"C11","1","47PF_X7R_1005M","CAP, MLCC, X7R, 47PF, 50V, C0G, 0402, 1005M","MULTICOMP","MC0402N470K500CT"," ","CAPC1005X60L"
"C14","1","22NF_X7R_1608M","CAP, MLCC, X7R, 22NF, 50V, 0603, 1608M","MULTICOMP","MC0603B223K500CT"," ","CAPC1608X90L"
"C16, C17, C18","3","22UF_X7R_3225M","CAP, MLCC, X7R, 22UF, 25V, 10%, 1210, 3225M","MURATA","C1210C226K3RACTU"," ","CAPC3225X170L"
"C2, C3","2","10UF_X7S_3225M","CAP, MLCC, X7R, 10UF, 50V, 1210 3225M","TDK","C3225X7S1H106M250AB"," ","CAPC3225X170L"
"C20, C25","2","330NF_X5R_1005M","CAP, MLCC, X5R, 330NF, 25V, 0402, 1005M","TDK","C1005X5R1E334K050BB"," ","CAPC1005X60L"
"C24","1","10NF_X7R_1005M","CAP, MLCC, X7R, 10NF, 50V, 0402, 1005M","KEMET","C0402C103K5RACTU"," ","CAPC1005X60L"
"C26","1","6.8UF_X7R_1608M","CAP, MLCC, X7R, 6.8UF, 50V, 0603","TDK","C1608X5R1A685K080AC"," ","CAPC1608X90L"
"C27, C28","2","330PF_X7R_1005M","CAP, MLCC, X7R, 330PF, 50V, 0402, 1005M","MURATA","GRM155R71H331KA01D"," ","CAPC1005X60L"
"C30, C31","2","1UF_X7R_3216M","CAP, MLCC, X7R, 1UF, 100V, 1206, 3216M","TDK","C3216X7R2A105K160AA"," ","RESC3216X60L"
"C32","1","100NF_X7R_3216M","CAP, MLCC, X7R, 100nF, 100V, 1206, 3216M","YAGEO","CC1206KKX7R0BB104"," ","CAPC3216X135L"
"C4, C8","2","100PF_C0G_1005M","CAP, MLCC, X7R, 100PF, 50V, 0402, 1005M","MURATA","GCM1555C1H101JA16D"," ","CAPC1005X60L"
"C5, C12, C13, C21, C22, C23, C29","7","100NF_X7R_1005M","CAP, MLCC, X7R, 100NF, 50V, 0402, 1005M","TDK","CGA2B3X7R1H104K050BB"," ","CAPC1005X60L"
"C6, C7","2","1UF_X7R_1608M","CAP, MLCC, X7R, 1UF, 50V, 0603","MURATA","GRM188R61H105KAALD"," ","CAPC1608X90L"
"C9","1","22NF_X7R_1005M","CAP, MLCC, X7R, 22NF, 50V, 0402, 1005M","MURATA","GRM155R71H223KA12D"," ","CAPC1005X60L"
"CON1","1","XT60-PT-MALE","XT60PT, 3.5mm Banana Connector Style, Plug, Male, SMD","AMASS","XT60PT-M"," ","XT60-PT-MALE"
"D1, D3, D4, D5","4","40V_500mA_SOD323","DIODE SCHOTTKY 40V 500MA 470mV Fwd SOD323","NXP","PMEG4005AEA"," ","SOD2512X110L"
"D10","1","BAV99","DIODE DUAL, 100V, 215mA, 4ns, SOT23","NXP","BAV99"," ","SOT95P240X110-3L16L"
"D2","1","CD214B-B250LF","DIODE, CHIP, 50V, 2A, DO-214AA","BOURNS","CD214B-B250LF"," ","SODFL5436X262L"
"D6","1","SSB44-E3/52T_DO214AA","DIODE, Schottky, 40V, 4A, 10ns, SMB, DO-214AA","VISHAY","SSB44-E3/52T"," ","SODFL5436X262L"
